ndwi,mndwi,ndci,ndti,do,ndsi,ph,chl_a,ssc,wst,date
,,,,,,,,,,28-04-2018
,,,,,,,,,,29-04-2018
,,,,,,,,,,30-04-2018
,,,,,,,,,,01-05-2018
,,,,,,,,,,02-05-2018
,,,,,,,,,,03-05-2018
,,,,,,,,,,04-05-2018
,,,,,,,,,,05-05-2018
,,,,,,,,,,06-05-2018
,,,,,,,,,,07-05-2018
,,,,,,,,,,08-05-2018
,,,,,,,,,,09-05-2018
,,,,,,,,,,10-05-2018
,,,,,,,,,,11-05-2018
,,,,,,,,,,12-05-2018
,,,,,,,,,,13-05-2018
,,,,,,,,,,14-05-2018
,,,,,,,,,,15-05-2018
,,,,,,,,,,16-05-2018
,,,,,,,,,,17-05-2018
,,,,,,,,,,18-05-2018
,,,,,,,,,,19-05-2018
,,,,,,,,,,20-05-2018
,,,,,,,,,,21-05-2018
,,,,,,,,,,22-05-2018
,,,,,,,,,,23-05-2018
,,,,,,,,,,24-05-2018
,,,,,,,,,,25-05-2018
,,,,,,,,,,26-05-2018
,,,,,,,,,,27-05-2018
,,,,,,,,,,28-05-2018
,,,,,,,,,,29-05-2018
,,,,,,,,,,30-05-2018
,,,,,,,,,,31-05-2018
,,,,,,,,,,01-06-2018
,,,,,,,,,,02-06-2018
,,,,,,,,,,03-06-2018
,,,,,,,,,,04-06-2018
,,,,,,,,,,05-06-2018
,,,,,,,,,,06-06-2018
,,,,,,,,,,07-06-2018
,,,,,,,,,,08-06-2018
,,,,,,,,,,09-06-2018
,,,,,,,,,,10-06-2018
,,,,,,,,,,11-06-2018
,,,,,,,,,,12-06-2018
,,,,,,,,,,13-06-2018
,,,,,,,,,,14-06-2018
,,,,,,,,,,15-06-2018
,,,,,,,,,,16-06-2018
,,,,,,,,,,17-06-2018
,,,,,,,,,,18-06-2018
,,,,,,,,,,19-06-2018
,,,,,,,,,,20-06-2018
,,,,,,,,,,21-06-2018
,,,,,,,,,,22-06-2018
,,,,,,,,,,23-06-2018
,,,,,,,,,,24-06-2018
,,,,,,,,,,25-06-2018
,,,,,,,,,,26-06-2018
,,,,,,,,,,27-06-2018
,,,,,,,,,,28-06-2018
,,,,,,,,,,29-06-2018
,,,,,,,,,,30-06-2018
,,,,,,,,,,01-07-2018
,,,,,,,,,,02-07-2018
,,,,,,,,,,03-07-2018
,,,,,,,,,,04-07-2018
,,,,,,,,,,05-07-2018
,,,,,,,,,,06-07-2018
,,,,,,,,,,07-07-2018
,,,,,,,,,,08-07-2018
,,,,,,,,,,09-07-2018
,,,,,,,,,,10-07-2018
,,,,,,,,,,11-07-2018
,,,,,,,,,,12-07-2018
,,,,,,,,,,13-07-2018
,,,,,,,,,,14-07-2018
,,,,,,,,,,15-07-2018
,,,,,,,,,,16-07-2018
,,,,,,,,,,17-07-2018
,,,,,,,,,,18-07-2018
,,,,,,,,,,19-07-2018
,,,,,,,,,,20-07-2018
,,,,,,,,,,21-07-2018
,,,,,,,,,,22-07-2018
,,,,,,,,,,23-07-2018
,,,,,,,,,,24-07-2018
,,,,,,,,,,25-07-2018
,,,,,,,,,,26-07-2018
,,,,,,,,,,27-07-2018
,,,,,,,,,,28-07-2018
,,,,,,,,,,29-07-2018
,,,,,,,,,,30-07-2018
,,,,,,,,,,31-07-2018
,,,,,,,,,,01-08-2018
,,,,,,,,,,02-08-2018
,,,,,,,,,,03-08-2018
,,,,,,,,,,04-08-2018
,,,,,,,,,,05-08-2018
,,,,,,,,,,06-08-2018
,,,,,,,,,,07-08-2018
,,,,,,,,,,08-08-2018
,,,,,,,,,,09-08-2018
,,,,,,,,,,10-08-2018
,,,,,,,,,,11-08-2018
,,,,,,,,,,12-08-2018
,,,,,,,,,,13-08-2018
,,,,,,,,,,14-08-2018
,,,,,,,,,,15-08-2018
,,,,,,,,,,16-08-2018
,,,,,,,,,,17-08-2018
,,,,,,,,,,18-08-2018
,,,,,,,,,,19-08-2018
,,,,,,,,,,20-08-2018
,,,,,,,,,,21-08-2018
,,,,,,,,,,22-08-2018
,,,,,,,,,,23-08-2018
,,,,,,,,,,24-08-2018
,,,,,,,,,,25-08-2018
,,,,,,,,,,26-08-2018
,,,,,,,,,,27-08-2018
,,,,,,,,,,28-08-2018
,,,,,,,,,,29-08-2018
,,,,,,,,,,30-08-2018
,,,,,,,,,,31-08-2018
,,,,,,,,,,01-09-2018
,,,,,,,,,,02-09-2018
,,,,,,,,,,03-09-2018
,,,,,,,,,,04-09-2018
,,,,,,,,,,05-09-2018
,,,,,,,,,,06-09-2018
,,,,,,,,,,07-09-2018
,,,,,,,,,,08-09-2018
,,,,,,,,,,09-09-2018
,,,,,,,,,,10-09-2018
,,,,,,,,,,11-09-2018
,,,,,,,,,,12-09-2018
,,,,,,,,,,13-09-2018
,,,,,,,,,,14-09-2018
,,,,,,,,,,15-09-2018
,,,,,,,,,,16-09-2018
,,,,,,,,,,17-09-2018
,,,,,,,,,,18-09-2018
,,,,,,,,,,19-09-2018
,,,,,,,,,,20-09-2018
,,,,,,,,,,21-09-2018
,,,,,,,,,,22-09-2018
,,,,,,,,,,23-09-2018
,,,,,,,,,,24-09-2018
,,,,,,,,,,25-09-2018
,,,,,,,,,,26-09-2018
,,,,,,,,,,27-09-2018
,,,,,,,,,,28-09-2018
,,,,,,,,,,29-09-2018
,,,,,,,,,,30-09-2018
,,,,,,,,,,01-10-2018
,,,,,,,,,,02-10-2018
,,,,,,,,,,03-10-2018
,,,,,,,,,,04-10-2018
,,,,,,,,,,05-10-2018
,,,,,,,,,,06-10-2018
,,,,,,,,,,07-10-2018
,,,,,,,,,,08-10-2018
,,,,,,,,,,09-10-2018
,,,,,,,,,,10-10-2018
,,,,,,,,,,11-10-2018
,,,,,,,,,,12-10-2018
,,,,,,,,,,13-10-2018
,,,,,,,,,,14-10-2018
,,,,,,,,,,15-10-2018
,,,,,,,,,,16-10-2018
,,,,,,,,,,17-10-2018
,,,,,,,,,,18-10-2018
,,,,,,,,,,19-10-2018
,,,,,,,,,,20-10-2018
,,,,,,,,,,21-10-2018
,,,,,,,,,,22-10-2018
,,,,,,,,,,23-10-2018
,,,,,,,,,,24-10-2018
,,,,,,,,,,25-10-2018
,,,,,,,,,,26-10-2018
,,,,,,,,,,27-10-2018
,,,,,,,,,,28-10-2018
,,,,,,,,,,29-10-2018
,,,,,,,,,,30-10-2018
,,,,,,,,,,31-10-2018
,,,,,,,,,,01-11-2018
,,,,,,,,,,02-11-2018
,,,,,,,,,,03-11-2018
,,,,,,,,,,04-11-2018
,,,,,,,,,,05-11-2018
,,,,,,,,,,06-11-2018
,,,,,,,,,,07-11-2018
,,,,,,,,,,08-11-2018
,,,,,,,,,,09-11-2018
,,,,,,,,,,10-11-2018
,,,,,,,,,,11-11-2018
,,,,,,,,,,12-11-2018
,,,,,,,,,,13-11-2018
,,,,,,,,,,14-11-2018
,,,,,,,,,,15-11-2018
,,,,,,,,,,16-11-2018
,,,,,,,,,,17-11-2018
,,,,,,,,,,18-11-2018
,,,,,,,,,,19-11-2018
,,,,,,,,,,20-11-2018
,,,,,,,,,,21-11-2018
,,,,,,,,,,22-11-2018
,,,,,,,,,,23-11-2018
,,,,,,,,,,24-11-2018
,,,,,,,,,,25-11-2018
,,,,,,,,,,26-11-2018
,,,,,,,,,,27-11-2018
,,,,,,,,,,28-11-2018
,,,,,,,,,,29-11-2018
,,,,,,,,,,30-11-2018
,,,,,,,,,,01-12-2018
,,,,,,,,,,02-12-2018
,,,,,,,,,,03-12-2018
,,,,,,,,,,04-12-2018
,,,,,,,,,,05-12-2018
,,,,,,,,,,06-12-2018
,,,,,,,,,,07-12-2018
,,,,,,,,,,08-12-2018
,,,,,,,,,,09-12-2018
,,,,,,,,,,10-12-2018
,,,,,,,,,,11-12-2018
,,,,,,,,,,12-12-2018
,,,,,,,,,,13-12-2018
,,,,,,,,,,14-12-2018
,,,,,,,,,,15-12-2018
,,,,,,,,,,16-12-2018
,,,,,,,,,,17-12-2018
-0.17146782,-0.086771699,-0.047175459,-0.063076584,0.051968475,-0.146016354,7.875223718,21.85104892,2.58142337,-250.4143192,18-12-2018
,,,,,,,,,,19-12-2018
,,,,,,,,,,20-12-2018
,,,,,,,,,,21-12-2018
,,,,,,,,,,22-12-2018
-0.200477004,-0.11339131,-0.053012775,-0.140655561,-0.001589417,-0.243109903,7.996926009,22.85027944,2.580931943,-251.0456881,23-12-2018
,,,,,,,,,,24-12-2018
,,,,,,,,,,25-12-2018
,,,,,,,,,,26-12-2018
,,,,,,,,,,27-12-2018
-0.200411624,-0.120370964,-0.050188833,-0.157017748,-0.017669465,-0.267052303,7.977569239,35.4054503,2.58089025,-251.5776527,28-12-2018
,,,,,,,,,,29-12-2018
,,,,,,,,,,30-12-2018
,,,,,,,,,,31-12-2018
,,,,,,,,,,01-01-2019
-0.200677191,-0.125253526,-0.043067259,-0.122369576,0.000286606,-0.237849252,8.021176203,24.24024085,2.580842141,-250.0877834,02-01-2019
,,,,,,,,,,03-01-2019
,,,,,,,,,,04-01-2019
,,,,,,,,,,05-01-2019
,,,,,,,,,,06-01-2019
-0.116029693,-0.050131864,-0.030744611,0.053427034,0.151589906,0.003790498,7.747242416,13.55421716,2.581868956,-244.343724,07-01-2019
,,,,,,,,,,08-01-2019
,,,,,,,,,,09-01-2019
,,,,,,,,,,10-01-2019
,,,,,,,,,,11-01-2019
-0.088595352,-0.062139896,-0.021497532,0.008481237,0.056856912,-0.052683446,7.760051187,12.56614717,2.581752709,-241.8450114,12-01-2019
,,,,,,,,,,13-01-2019
,,,,,,,,,,14-01-2019
,,,,,,,,,,15-01-2019
,,,,,,,,,,16-01-2019
-0.182941052,-0.124387649,-0.026023607,-0.129412904,-0.042156047,-0.244716773,7.928014313,30.68149138,2.580883084,-250.0228396,17-01-2019
,,,,,,,,,,18-01-2019
,,,,,,,,,,19-01-2019
,,,,,,,,,,20-01-2019
,,,,,,,,,,21-01-2019
-0.202608442,-0.154097251,-0.005399853,-0.104139084,-0.026534688,-0.249249347,8.085258602,26.60374683,2.580602918,-246.2681905,22-01-2019
,,,,,,,,,,23-01-2019
,,,,,,,,,,24-01-2019
,,,,,,,,,,25-01-2019
,,,,,,,,,,26-01-2019
-0.197409787,-0.163058375,-0.016982616,-0.16591967,-0.099987267,-0.314551287,7.983764577,57.51609179,2.580282355,-249.7019163,27-01-2019
,,,,,,,,,,28-01-2019
,,,,,,,,,,29-01-2019
,,,,,,,,,,30-01-2019
,,,,,,,,,,31-01-2019
-0.140699159,-0.110536997,-0.031523062,-0.098821282,-0.051510874,-0.202992421,7.936366789,19.76841193,2.581116235,-247.6633744,01-02-2019
,,,,,,,,,,02-02-2019
,,,,,,,,,,03-02-2019
,,,,,,,,,,04-02-2019
,,,,,,,,,,05-02-2019
-0.07211433,-0.042278773,-0.01800771,0.030302852,0.073699095,-0.01179808,7.651239639,12.24060836,2.581933036,-225.1862938,06-02-2019
,,,,,,,,,,07-02-2019
,,,,,,,,,,08-02-2019
,,,,,,,,,,09-02-2019
,,,,,,,,,,10-02-2019
-0.242784596,-0.167264557,-0.015543573,-0.20736299,-0.065177642,-0.357158952,8.11477192,37.4476535,2.580233035,-248.2957499,11-02-2019
,,,,,,,,,,12-02-2019
,,,,,,,,,,13-02-2019
,,,,,,,,,,14-02-2019
,,,,,,,,,,15-02-2019
-0.202271209,-0.164628655,-0.012158091,-0.158874142,-0.107911618,-0.310096691,7.960107574,45.66346159,2.580407922,-247.8560256,16-02-2019
,,,,,,,,,,17-02-2019
,,,,,,,,,,18-02-2019
,,,,,,,,,,19-02-2019
,,,,,,,,,,20-02-2019
-0.240455798,-0.182490431,-0.034588249,-0.234460622,-0.138400808,-0.394180198,8.154845676,51.35273514,2.579914702,-248.4429293,21-02-2019
,,,,,,,,,,22-02-2019
,,,,,,,,,,23-02-2019
,,,,,,,,,,24-02-2019
,,,,,,,,,,25-02-2019
-0.260072165,-0.188872496,0.00916445,-0.223884459,-0.099895432,-0.393705685,8.085432929,60.70188635,2.580059983,-242.7769018,26-02-2019
,,,,,,,,,,27-02-2019
,,,,,,,,,,28-02-2019
,,,,,,,,,,01-03-2019
,,,,,,,,,,02-03-2019
,,,,,,,,,,03-03-2019
,,,,,,,,,,04-03-2019
,,,,,,,,,,05-03-2019
,,,,,,,,,,06-03-2019
,,,,,,,,,,07-03-2019
-0.29264784,-0.203588526,0.009276164,-0.259527842,-0.109701747,-0.438266328,8.137824012,40393.17437,2.579656614,-244.6298626,08-03-2019
,,,,,,,,,,09-03-2019
,,,,,,,,,,10-03-2019
,,,,,,,,,,11-03-2019
,,,,,,,,,,12-03-2019
,,,,,,,,,,13-03-2019
,,,,,,,,,,14-03-2019
,,,,,,,,,,15-03-2019
,,,,,,,,,,16-03-2019
,,,,,,,,,,17-03-2019
-0.334057782,-0.273185409,-0.005807368,-0.310864579,-0.190341037,-0.534481414,8.223069791,5663661.208,2.578191237,-244.677954,18-03-2019
,,,,,,,,,,19-03-2019
,,,,,,,,,,20-03-2019
,,,,,,,,,,21-03-2019
,,,,,,,,,,22-03-2019
-0.261052212,-0.169768162,0.006702708,-0.187309024,-0.035045923,-0.342765362,8.076146591,30.6490726,2.580371654,-242.3435335,23-03-2019
,,,,,,,,,,24-03-2019
,,,,,,,,,,25-03-2019
,,,,,,,,,,26-03-2019
,,,,,,,,,,27-03-2019
-0.248180328,-0.163973631,0.020423161,-0.179201025,-0.067148041,-0.331469059,7.958278308,32.39831084,2.580498692,-239.5133695,28-03-2019
,,,,,,,,,,29-03-2019
,,,,,,,,,,30-03-2019
,,,,,,,,,,31-03-2019
,,,,,,,,,,01-04-2019
-0.222422269,-0.141265963,0.004800433,-0.166740316,-0.028586799,-0.297892868,7.989372254,22.38631868,2.580789638,-241.2456887,02-04-2019
,,,,,,,,,,03-04-2019
,,,,,,,,,,04-04-2019
,,,,,,,,,,05-04-2019
,,,,,,,,,,06-04-2019
-0.234261886,-0.156261322,0.025629126,-0.174251743,-0.063718233,-0.319988859,7.959362933,26.58093318,2.580636809,-237.2045496,07-04-2019
,,,,,,,,,,08-04-2019
,,,,,,,,,,09-04-2019
,,,,,,,,,,10-04-2019
,,,,,,,,,,11-04-2019
-0.222509172,-0.145051942,0.011975265,-0.162170259,-0.038482571,-0.297624251,7.988473066,21.98108024,2.580767896,-237.9778586,12-04-2019
,,,,,,,,,,13-04-2019
,,,,,,,,,,14-04-2019
,,,,,,,,,,15-04-2019
,,,,,,,,,,16-04-2019
0.031902224,0.020069551,-0.050631861,-0.019055375,0.07215618,0.001166804,7.740514808,9.205628413,2.582351846,-127.7892575,17-04-2019
,,,,,,,,,,18-04-2019
,,,,,,,,,,19-04-2019
,,,,,,,,,,20-04-2019
,,,,,,,,,,21-04-2019
-0.239483847,-0.147662334,-0.006783115,-0.184398525,-0.044744901,-0.31978397,7.978390809,24.51837613,2.580649503,-240.4586187,22-04-2019
,,,,,,,,,,23-04-2019
,,,,,,,,,,24-04-2019
,,,,,,,,,,25-04-2019
,,,,,,,,,,26-04-2019
-0.217758393,-0.134440461,0.003231276,-0.16068231,-0.047300169,-0.286577191,7.905625165,22.90010542,2.580902724,-236.7142869,27-04-2019
,,,,,,,,,,28-04-2019
,,,,,,,,,,29-04-2019
,,,,,,,,,,30-04-2019
,,,,,,,,,,01-05-2019
-0.243565596,-0.145456151,0.012820936,-0.164588915,-0.00585263,-0.300946627,8.018574924,22.08141244,2.580778243,-233.1035566,02-05-2019
,,,,,,,,,,03-05-2019
,,,,,,,,,,04-05-2019
,,,,,,,,,,05-05-2019
,,,,,,,,,,06-05-2019
-0.224785402,-0.138455164,0.015402696,-0.156280382,-0.0325184,-0.286733521,7.94304327,24.46101495,2.580857736,-232.3843431,07-05-2019
,,,,,,,,,,08-05-2019
,,,,,,,,,,09-05-2019
,,,,,,,,,,10-05-2019
,,,,,,,,,,11-05-2019
-0.209830291,-0.125299127,0.021299398,-0.137863767,-0.007586922,-0.258059124,7.982847656,19.20999681,2.581080456,-222.2072074,12-05-2019
,,,,,,,,,,13-05-2019
,,,,,,,,,,14-05-2019
,,,,,,,,,,15-05-2019
,,,,,,,,,,16-05-2019
-0.239741519,-0.151456289,0.016355344,-0.15289561,-0.030042246,-0.295782421,7.955285113,25.65035524,2.580696947,-231.7525311,17-05-2019
,,,,,,,,,,18-05-2019
,,,,,,,,,,19-05-2019
,,,,,,,,,,20-05-2019
,,,,,,,,,,21-05-2019
-0.25751865,-0.169387828,-0.003216558,-0.188964741,-0.047346906,-0.34298889,8.010643025,31.1471713,2.580274783,-235.7106233,22-05-2019
,,,,,,,,,,23-05-2019
,,,,,,,,,,24-05-2019
,,,,,,,,,,25-05-2019
,,,,,,,,,,26-05-2019
-0.236285237,-0.149105387,0.006047269,-0.164628121,-0.052060532,-0.304400755,7.923021104,26.62157857,2.580689554,-232.2837895,27-05-2019
,,,,,,,,,,28-05-2019
,,,,,,,,,,29-05-2019
,,,,,,,,,,30-05-2019
,,,,,,,,,,31-05-2019
-0.227834976,-0.138207035,0.006227006,-0.143835458,-0.012293261,-0.27405203,7.967457714,20.80447848,2.580835665,-231.5812207,01-06-2019
,,,,,,,,,,02-06-2019
,,,,,,,,,,03-06-2019
,,,,,,,,,,04-06-2019
,,,,,,,,,,05-06-2019
-0.212182006,-0.129895182,0.014883633,-0.137028556,-0.031551503,-0.260880196,7.927970223,23.08041016,2.580975997,-227.6828455,06-06-2019
,,,,,,,,,,07-06-2019
,,,,,,,,,,08-06-2019
,,,,,,,,,,09-06-2019
,,,,,,,,,,10-06-2019
-0.211752516,-0.130482839,0.008197544,-0.134252946,-0.018045738,-0.258245249,7.97382175,20.90980248,2.580967446,-229.6968429,11-06-2019
,,,,,,,,,,12-06-2019
,,,,,,,,,,13-06-2019
,,,,,,,,,,14-06-2019
,,,,,,,,,,15-06-2019
,,,,,,,,,,16-06-2019
,,,,,,,,,,17-06-2019
,,,,,,,,,,18-06-2019
,,,,,,,,,,19-06-2019
,,,,,,,,,,20-06-2019
,,,,,,,,,,21-06-2019
,,,,,,,,,,22-06-2019
,,,,,,,,,,23-06-2019
,,,,,,,,,,24-06-2019
,,,,,,,,,,25-06-2019
,,,,,,,,,,26-06-2019
,,,,,,,,,,27-06-2019
,,,,,,,,,,28-06-2019
,,,,,,,,,,29-06-2019
,,,,,,,,,,30-06-2019
,,,,,,,,,,01-07-2019
,,,,,,,,,,02-07-2019
,,,,,,,,,,03-07-2019
,,,,,,,,,,04-07-2019
,,,,,,,,,,05-07-2019
,,,,,,,,,,06-07-2019
,,,,,,,,,,07-07-2019
,,,,,,,,,,08-07-2019
,,,,,,,,,,09-07-2019
,,,,,,,,,,10-07-2019
,,,,,,,,,,11-07-2019
,,,,,,,,,,12-07-2019
,,,,,,,,,,13-07-2019
,,,,,,,,,,14-07-2019
,,,,,,,,,,15-07-2019
,,,,,,,,,,16-07-2019
,,,,,,,,,,17-07-2019
,,,,,,,,,,18-07-2019
,,,,,,,,,,19-07-2019
,,,,,,,,,,20-07-2019
,,,,,,,,,,21-07-2019
,,,,,,,,,,22-07-2019
,,,,,,,,,,23-07-2019
,,,,,,,,,,24-07-2019
,,,,,,,,,,25-07-2019
,,,,,,,,,,26-07-2019
,,,,,,,,,,27-07-2019
,,,,,,,,,,28-07-2019
,,,,,,,,,,29-07-2019
,,,,,,,,,,30-07-2019
,,,,,,,,,,31-07-2019
,,,,,,,,,,01-08-2019
,,,,,,,,,,02-08-2019
,,,,,,,,,,03-08-2019
,,,,,,,,,,04-08-2019
,,,,,,,,,,05-08-2019
,,,,,,,,,,06-08-2019
,,,,,,,,,,07-08-2019
,,,,,,,,,,08-08-2019
,,,,,,,,,,09-08-2019
,,,,,,,,,,10-08-2019
,,,,,,,,,,11-08-2019
,,,,,,,,,,12-08-2019
,,,,,,,,,,13-08-2019
,,,,,,,,,,14-08-2019
,,,,,,,,,,15-08-2019
,,,,,,,,,,16-08-2019
,,,,,,,,,,17-08-2019
,,,,,,,,,,18-08-2019
,,,,,,,,,,19-08-2019
,,,,,,,,,,20-08-2019
,,,,,,,,,,21-08-2019
,,,,,,,,,,22-08-2019
,,,,,,,,,,23-08-2019
,,,,,,,,,,24-08-2019
,,,,,,,,,,25-08-2019
,,,,,,,,,,26-08-2019
,,,,,,,,,,27-08-2019
,,,,,,,,,,28-08-2019
,,,,,,,,,,29-08-2019
,,,,,,,,,,30-08-2019
,,,,,,,,,,31-08-2019
,,,,,,,,,,01-09-2019
,,,,,,,,,,02-09-2019
,,,,,,,,,,03-09-2019
,,,,,,,,,,04-09-2019
,,,,,,,,,,05-09-2019
,,,,,,,,,,06-09-2019
,,,,,,,,,,07-09-2019
,,,,,,,,,,08-09-2019
,,,,,,,,,,09-09-2019
,,,,,,,,,,10-09-2019
,,,,,,,,,,11-09-2019
,,,,,,,,,,12-09-2019
,,,,,,,,,,13-09-2019
,,,,,,,,,,14-09-2019
,,,,,,,,,,15-09-2019
,,,,,,,,,,16-09-2019
,,,,,,,,,,17-09-2019
,,,,,,,,,,18-09-2019
,,,,,,,,,,19-09-2019
,,,,,,,,,,20-09-2019
,,,,,,,,,,21-09-2019
,,,,,,,,,,22-09-2019
,,,,,,,,,,23-09-2019
,,,,,,,,,,24-09-2019
,,,,,,,,,,25-09-2019
,,,,,,,,,,26-09-2019
,,,,,,,,,,27-09-2019
,,,,,,,,,,28-09-2019
,,,,,,,,,,29-09-2019
,,,,,,,,,,30-09-2019
,,,,,,,,,,01-10-2019
,,,,,,,,,,02-10-2019
,,,,,,,,,,03-10-2019
-0.257659819,-0.099770355,-0.070750813,-0.118959041,0.041947765,-0.212981798,7.861893281,16.50905955,2.581310857,-242.9413109,04-10-2019
,,,,,,,,,,05-10-2019
,,,,,,,,,,06-10-2019
,,,,,,,,,,07-10-2019
,,,,,,,,,,08-10-2019
-0.297490455,-0.114079964,-0.072431766,-0.171906314,0.045189842,-0.275997769,8.031190539,18.78340552,2.581139902,-245.8143664,09-10-2019
,,,,,,,,,,10-10-2019
,,,,,,,,,,11-10-2019
,,,,,,,,,,12-10-2019
,,,,,,,,,,13-10-2019
-0.313451517,-0.140490254,-0.047164055,-0.196811145,0.007077715,-0.323744462,8.046004448,27.71559785,2.580794214,-245.5571799,14-10-2019
,,,,,,,,,,15-10-2019
,,,,,,,,,,16-10-2019
,,,,,,,,,,17-10-2019
,,,,,,,,,,18-10-2019
,,,,,,,,,,19-10-2019
,,,,,,,,,,20-10-2019
,,,,,,,,,,21-10-2019
,,,,,,,,,,22-10-2019
,,,,,,,,,,23-10-2019
,,,,,,,,,,24-10-2019
,,,,,,,,,,25-10-2019
,,,,,,,,,,26-10-2019
,,,,,,,,,,27-10-2019
,,,,,,,,,,28-10-2019
,,,,,,,,,,29-10-2019
,,,,,,,,,,30-10-2019
,,,,,,,,,,31-10-2019
,,,,,,,,,,01-11-2019
,,,,,,,,,,02-11-2019
,,,,,,,,,,03-11-2019
,,,,,,,,,,04-11-2019
,,,,,,,,,,05-11-2019
,,,,,,,,,,06-11-2019
,,,,,,,,,,07-11-2019
,,,,,,,,,,08-11-2019
,,,,,,,,,,09-11-2019
,,,,,,,,,,10-11-2019
,,,,,,,,,,11-11-2019
,,,,,,,,,,12-11-2019
,,,,,,,,,,13-11-2019
,,,,,,,,,,14-11-2019
,,,,,,,,,,15-11-2019
,,,,,,,,,,16-11-2019
,,,,,,,,,,17-11-2019
,,,,,,,,,,18-11-2019
,,,,,,,,,,19-11-2019
,,,,,,,,,,20-11-2019
,,,,,,,,,,21-11-2019
,,,,,,,,,,22-11-2019
-0.233910635,-0.08108957,-0.064136155,-0.11421179,0.054415526,-0.190493848,7.900505787,18.79797898,2.581494457,-246.7431797,23-11-2019
,,,,,,,,,,24-11-2019
