ph,wst,date
,,14-08-2018
,,15-08-2018
,,16-08-2018
,,17-08-2018
,,18-08-2018
,,19-08-2018
,,20-08-2018
,,21-08-2018
,,22-08-2018
,,23-08-2018
,,24-08-2018
,,25-08-2018
,,26-08-2018
,,27-08-2018
,,28-08-2018
,,29-08-2018
,,30-08-2018
,,31-08-2018
,,01-09-2018
,,02-09-2018
,,03-09-2018
,,04-09-2018
,,05-09-2018
,,06-09-2018
,,07-09-2018
,,08-09-2018
,,09-09-2018
,,10-09-2018
,,11-09-2018
,,12-09-2018
,,13-09-2018
,,14-09-2018
,,15-09-2018
,,16-09-2018
,,17-09-2018
,,18-09-2018
,,19-09-2018
,,20-09-2018
,,21-09-2018
,,22-09-2018
,,23-09-2018
,,24-09-2018
,,25-09-2018
,,26-09-2018
,,27-09-2018
,,28-09-2018
,,29-09-2018
,,30-09-2018
,,01-10-2018
,,02-10-2018
,,03-10-2018
,,04-10-2018
,,05-10-2018
,,06-10-2018
,,07-10-2018
,,08-10-2018
,,09-10-2018
,,10-10-2018
,,11-10-2018
,,12-10-2018
,,13-10-2018
,,14-10-2018
,,15-10-2018
,,16-10-2018
,,17-10-2018
,,18-10-2018
,,19-10-2018
,,20-10-2018
,,21-10-2018
,,22-10-2018
,,23-10-2018
,,24-10-2018
,,25-10-2018
,,26-10-2018
,,27-10-2018
,,28-10-2018
,,29-10-2018
,,30-10-2018
,,31-10-2018
,,01-11-2018
,,02-11-2018
,,03-11-2018
,,04-11-2018
,,05-11-2018
,,06-11-2018
,,07-11-2018
,,08-11-2018
,,09-11-2018
,,10-11-2018
,,11-11-2018
,,12-11-2018
,,13-11-2018
,,14-11-2018
,,15-11-2018
,,16-11-2018
,,17-11-2018
,,18-11-2018
,,19-11-2018
,,20-11-2018
,,21-11-2018
,,22-11-2018
,,23-11-2018
,,24-11-2018
,,25-11-2018
,,26-11-2018
,,27-11-2018
,,28-11-2018
,,29-11-2018
,,30-11-2018
,,01-12-2018
,,02-12-2018
,,03-12-2018
,,04-12-2018
,,05-12-2018
,,06-12-2018
,,07-12-2018
,,08-12-2018
,,09-12-2018
,,10-12-2018
,,11-12-2018
,,12-12-2018
,,13-12-2018
,,14-12-2018
,,15-12-2018
,,16-12-2018
,,17-12-2018
7.510776763,-227.237599,18-12-2018
,,19-12-2018
,,20-12-2018
,,21-12-2018
,,22-12-2018
7.685850481,-224.5795865,23-12-2018
,,24-12-2018
,,25-12-2018
,,26-12-2018
,,27-12-2018
7.70333685,-219.8038499,28-12-2018
,,29-12-2018
,,30-12-2018
,,31-12-2018
,,01-01-2019
7.767473504,-216.2487774,02-01-2019
,,03-01-2019
,,04-01-2019
,,05-01-2019
,,06-01-2019
7.648693378,-215.3564571,07-01-2019
,,08-01-2019
,,09-01-2019
,,10-01-2019
,,11-01-2019
7.755714959,-212.2036861,12-01-2019
,,13-01-2019
,,14-01-2019
,,15-01-2019
,,16-01-2019
7.709426259,-211.2369792,17-01-2019
,,18-01-2019
,,19-01-2019
,,20-01-2019
,,21-01-2019
7.964932713,-206.552392,22-01-2019
,,23-01-2019
,,24-01-2019
,,25-01-2019
,,26-01-2019
,,27-01-2019
,,28-01-2019
,,29-01-2019
,,30-01-2019
,,31-01-2019
7.797661523,-207.1141286,01-02-2019
,,02-02-2019
,,03-02-2019
,,04-02-2019
,,05-02-2019
7.684473722,-209.9725162,06-02-2019
,,07-02-2019
,,08-02-2019
,,09-02-2019
,,10-02-2019
7.974463312,-209.4269305,11-02-2019
,,12-02-2019
,,13-02-2019
,,14-02-2019
,,15-02-2019
,,16-02-2019
,,17-02-2019
,,18-02-2019
,,19-02-2019
,,20-02-2019
,,21-02-2019
,,22-02-2019
,,23-02-2019
,,24-02-2019
,,25-02-2019
7.995459531,-207.7085204,26-02-2019
,,27-02-2019
,,28-02-2019
,,01-03-2019
,,02-03-2019
,,03-03-2019
,,04-03-2019
,,05-03-2019
,,06-03-2019
,,07-03-2019
,,08-03-2019
,,09-03-2019
,,10-03-2019
,,11-03-2019
,,12-03-2019
,,13-03-2019
,,14-03-2019
,,15-03-2019
,,16-03-2019
,,17-03-2019
,,18-03-2019
,,19-03-2019
,,20-03-2019
,,21-03-2019
,,22-03-2019
8.028037842,-201.880847,23-03-2019
,,24-03-2019
,,25-03-2019
,,26-03-2019
,,27-03-2019
7.950763996,-202.970932,28-03-2019
,,29-03-2019
,,30-03-2019
,,31-03-2019
,,01-04-2019
7.963718677,-200.7706775,02-04-2019
,,03-04-2019
,,04-04-2019
,,05-04-2019
,,06-04-2019
7.936264196,-202.5414746,07-04-2019
,,08-04-2019
,,09-04-2019
,,10-04-2019
,,11-04-2019
7.956895636,-201.3751447,12-04-2019
,,13-04-2019
,,14-04-2019
,,15-04-2019
,,16-04-2019
7.579005204,-139.5113394,17-04-2019
,,18-04-2019
,,19-04-2019
,,20-04-2019
,,21-04-2019
7.914456399,-205.3264303,22-04-2019
,,23-04-2019
,,24-04-2019
,,25-04-2019
,,26-04-2019
7.885079449,-204.518394,27-04-2019
,,28-04-2019
,,29-04-2019
,,30-04-2019
,,01-05-2019
7.958080511,-200.9258541,02-05-2019
,,03-05-2019
,,04-05-2019
,,05-05-2019
,,06-05-2019
7.94092237,-198.0454051,07-05-2019
,,08-05-2019
,,09-05-2019
,,10-05-2019
,,11-05-2019
7.933309614,-197.4391776,12-05-2019
,,13-05-2019
,,14-05-2019
,,15-05-2019
,,16-05-2019
7.915897022,-199.1715486,17-05-2019
,,18-05-2019
,,19-05-2019
,,20-05-2019
,,21-05-2019
7.951517628,-195.5747138,22-05-2019
,,23-05-2019
,,24-05-2019
,,25-05-2019
,,26-05-2019
7.902766339,-196.8606258,27-05-2019
,,28-05-2019
,,29-05-2019
,,30-05-2019
,,31-05-2019
7.934376088,-195.8214503,01-06-2019
,,02-06-2019
,,03-06-2019
,,04-06-2019
,,05-06-2019
7.909627376,-195.0060376,06-06-2019
,,07-06-2019
,,08-06-2019
,,09-06-2019
,,10-06-2019
7.949553339,-194.6564814,11-06-2019
,,12-06-2019
,,13-06-2019
,,14-06-2019
,,15-06-2019
,,16-06-2019
,,17-06-2019
,,18-06-2019
,,19-06-2019
,,20-06-2019
,,21-06-2019
,,22-06-2019
,,23-06-2019
,,24-06-2019
,,25-06-2019
,,26-06-2019
,,27-06-2019
,,28-06-2019
,,29-06-2019
,,30-06-2019
,,01-07-2019
,,02-07-2019
,,03-07-2019
,,04-07-2019
,,05-07-2019
,,06-07-2019
,,07-07-2019
,,08-07-2019
,,09-07-2019
,,10-07-2019
,,11-07-2019
,,12-07-2019
,,13-07-2019
,,14-07-2019
,,15-07-2019
,,16-07-2019
,,17-07-2019
,,18-07-2019
,,19-07-2019
,,20-07-2019
,,21-07-2019
,,22-07-2019
,,23-07-2019
,,24-07-2019
,,25-07-2019
,,26-07-2019
,,27-07-2019
,,28-07-2019
,,29-07-2019
,,30-07-2019
,,31-07-2019
,,01-08-2019
,,02-08-2019
,,03-08-2019
,,04-08-2019
,,05-08-2019
,,06-08-2019
,,07-08-2019
,,08-08-2019
,,09-08-2019
,,10-08-2019
,,11-08-2019
,,12-08-2019
,,13-08-2019
,,14-08-2019
,,15-08-2019
,,16-08-2019
,,17-08-2019
,,18-08-2019
,,19-08-2019
,,20-08-2019
,,21-08-2019
,,22-08-2019
,,23-08-2019
,,24-08-2019
,,25-08-2019
,,26-08-2019
,,27-08-2019
,,28-08-2019
,,29-08-2019
,,30-08-2019
,,31-08-2019
,,01-09-2019
,,02-09-2019
,,03-09-2019
,,04-09-2019
,,05-09-2019
,,06-09-2019
,,07-09-2019
,,08-09-2019
,,09-09-2019
,,10-09-2019
,,11-09-2019
,,12-09-2019
,,13-09-2019
,,14-09-2019
,,15-09-2019
,,16-09-2019
,,17-09-2019
,,18-09-2019
,,19-09-2019
,,20-09-2019
,,21-09-2019
,,22-09-2019
,,23-09-2019
,,24-09-2019
,,25-09-2019
,,26-09-2019
,,27-09-2019
,,28-09-2019
,,29-09-2019
,,30-09-2019
,,01-10-2019
,,02-10-2019
,,03-10-2019
7.009247996,-268.7806464,04-10-2019
,,05-10-2019
,,06-10-2019
,,07-10-2019
,,08-10-2019
7.187395428,-272.3299528,09-10-2019
,,10-10-2019
,,11-10-2019
,,12-10-2019
,,13-10-2019
7.068277057,-271.8864076,14-10-2019
,,15-10-2019
,,16-10-2019
,,17-10-2019
,,18-10-2019
,,19-10-2019
,,20-10-2019
,,21-10-2019
,,22-10-2019
,,23-10-2019
,,24-10-2019
,,25-10-2019
,,26-10-2019
,,27-10-2019
,,28-10-2019
,,29-10-2019
,,30-10-2019
,,31-10-2019
,,01-11-2019
,,02-11-2019
,,03-11-2019
,,04-11-2019
,,05-11-2019
,,06-11-2019
,,07-11-2019
,,08-11-2019
,,09-11-2019
,,10-11-2019
,,11-11-2019
,,12-11-2019
,,13-11-2019
,,14-11-2019
,,15-11-2019
,,16-11-2019
,,17-11-2019
,,18-11-2019
,,19-11-2019
,,20-11-2019
,,21-11-2019
,,22-11-2019
6.434387629,-272.9895683,23-11-2019
,,24-11-2019
,,25-11-2019
,,26-11-2019
,,27-11-2019
7.041040619,-272.8427883,28-11-2019
,,29-11-2019
,,30-11-2019
,,01-12-2019
,,02-12-2019
7.085466286,-270.2743657,03-12-2019
,,04-12-2019
,,05-12-2019
,,06-12-2019
,,07-12-2019
6.764004414,-273.2018692,08-12-2019
,,09-12-2019
,,10-12-2019
,,11-12-2019
,,12-12-2019
6.835641045,-273.1477869,13-12-2019
,,14-12-2019
,,15-12-2019
,,16-12-2019
,,17-12-2019
7.00961965,-273.8989548,18-12-2019
,,19-12-2019
,,20-12-2019
,,21-12-2019
,,22-12-2019
7.125143618,-271.1810404,23-12-2019
,,24-12-2019
,,25-12-2019
,,26-12-2019
,,27-12-2019
7.028088421,-274.28677,28-12-2019
,,29-12-2019
,,30-12-2019
,,31-12-2019
,,01-01-2020
,,02-01-2020
,,03-01-2020
,,04-01-2020
,,05-01-2020
,,06-01-2020
,,07-01-2020
,,08-01-2020
,,09-01-2020
,,10-01-2020
,,11-01-2020
6.833955275,-273.4175568,12-01-2020
,,13-01-2020
,,14-01-2020
,,15-01-2020
,,16-01-2020
6.694387321,-272.9301245,17-01-2020
,,18-01-2020
,,19-01-2020
,,20-01-2020
,,21-01-2020
,,22-01-2020
,,23-01-2020
,,24-01-2020
,,25-01-2020
,,26-01-2020
,,27-01-2020
,,28-01-2020
,,29-01-2020
,,30-01-2020
,,31-01-2020
6.749470502,-272.9420933,01-02-2020
,,02-02-2020
,,03-02-2020
,,04-02-2020
,,05-02-2020
,,06-02-2020
,,07-02-2020
,,08-02-2020
,,09-02-2020
,,10-02-2020
5.747443571,-273.4287009,11-02-2020
,,12-02-2020
,,13-02-2020
,,14-02-2020
,,15-02-2020
,,16-02-2020
,,17-02-2020
,,18-02-2020
,,19-02-2020
,,20-02-2020
7.040783266,-271.4023621,21-02-2020
,,22-02-2020
,,23-02-2020
,,24-02-2020
,,25-02-2020
,,26-02-2020
,,27-02-2020
,,28-02-2020
,,29-02-2020
,,01-03-2020
,,02-03-2020
,,03-03-2020
,,04-03-2020
,,05-03-2020
,,06-03-2020
,,07-03-2020
,,08-03-2020
,,09-03-2020
,,10-03-2020
,,11-03-2020
,,12-03-2020
,,13-03-2020
,,14-03-2020
,,15-03-2020
,,16-03-2020
,,17-03-2020
,,18-03-2020
,,19-03-2020
,,20-03-2020
,,21-03-2020
,,22-03-2020
,,23-03-2020
,,24-03-2020
,,25-03-2020
,,26-03-2020
,,27-03-2020
,,28-03-2020
,,29-03-2020
,,30-03-2020
,,31-03-2020
7.540082748,-264.4949304,01-04-2020
,,02-04-2020
,,03-04-2020
,,04-04-2020
,,05-04-2020
7.117604502,-269.311566,06-04-2020
,,07-04-2020
,,08-04-2020
,,09-04-2020
,,10-04-2020
7.328794856,-264.8385591,11-04-2020
,,12-04-2020
,,13-04-2020
,,14-04-2020
,,15-04-2020
7.434497374,-266.509292,16-04-2020
,,17-04-2020
,,18-04-2020
,,19-04-2020
,,20-04-2020
7.150329516,-267.7524919,21-04-2020
,,22-04-2020
,,23-04-2020
,,24-04-2020
,,25-04-2020
7.317930712,-267.1031736,26-04-2020
,,27-04-2020
,,28-04-2020
,,29-04-2020
,,30-04-2020
7.454406094,-261.8667973,01-05-2020
,,02-05-2020
,,03-05-2020
,,04-05-2020
,,05-05-2020
7.365227638,-266.2123774,06-05-2020
,,07-05-2020
,,08-05-2020
,,09-05-2020
,,10-05-2020
7.363898173,-263.1787527,11-05-2020
,,12-05-2020
,,13-05-2020
,,14-05-2020
,,15-05-2020
7.453891252,-263.4880188,16-05-2020
,,17-05-2020
,,18-05-2020
,,19-05-2020
,,20-05-2020
7.265000186,-267.0462296,21-05-2020
,,22-05-2020
,,23-05-2020
,,24-05-2020
,,25-05-2020
7.546011353,-260.904075,26-05-2020
,,27-05-2020
,,28-05-2020
,,29-05-2020
,,30-05-2020
7.408182272,-260.4892284,31-05-2020
,,01-06-2020
,,02-06-2020
,,03-06-2020
,,04-06-2020
7.262453454,-247.3445057,05-06-2020
,,06-06-2020
,,07-06-2020
,,08-06-2020
,,09-06-2020
7.420953822,-260.126086,10-06-2020
,,11-06-2020
,,12-06-2020
,,13-06-2020
,,14-06-2020
,,15-06-2020
,,16-06-2020
,,17-06-2020
,,18-06-2020
,,19-06-2020
,,20-06-2020
,,21-06-2020
,,22-06-2020
,,23-06-2020
,,24-06-2020
,,25-06-2020
,,26-06-2020
,,27-06-2020
,,28-06-2020
,,29-06-2020
7.655058841,-191.9928572,30-06-2020
,,01-07-2020
,,02-07-2020
,,03-07-2020
,,04-07-2020
,,05-07-2020
,,06-07-2020
,,07-07-2020
,,08-07-2020
,,09-07-2020
,,10-07-2020
,,11-07-2020
,,12-07-2020
,,13-07-2020
,,14-07-2020
,,15-07-2020
,,16-07-2020
,,17-07-2020
,,18-07-2020
,,19-07-2020
,,20-07-2020
,,21-07-2020
,,22-07-2020
,,23-07-2020
,,24-07-2020
,,25-07-2020
,,26-07-2020
,,27-07-2020
,,28-07-2020
,,29-07-2020
,,30-07-2020
,,31-07-2020
,,01-08-2020
,,02-08-2020
,,03-08-2020
,,04-08-2020
,,05-08-2020
,,06-08-2020
,,07-08-2020
,,08-08-2020
,,09-08-2020
,,10-08-2020
,,11-08-2020
,,12-08-2020
,,13-08-2020
,,14-08-2020
,,15-08-2020
,,16-08-2020
,,17-08-2020
,,18-08-2020
,,19-08-2020
,,20-08-2020
,,21-08-2020
,,22-08-2020
,,23-08-2020
,,24-08-2020
,,25-08-2020
,,26-08-2020
,,27-08-2020
,,28-08-2020
,,29-08-2020
,,30-08-2020
,,31-08-2020
,,01-09-2020
,,02-09-2020
,,03-09-2020
,,04-09-2020
,,05-09-2020
,,06-09-2020
,,07-09-2020
,,08-09-2020
,,09-09-2020
,,10-09-2020
,,11-09-2020
,,12-09-2020
,,13-09-2020
,,14-09-2020
,,15-09-2020
,,16-09-2020
,,17-09-2020
,,18-09-2020
,,19-09-2020
,,20-09-2020
,,21-09-2020
,,22-09-2020
,,23-09-2020
,,24-09-2020
,,25-09-2020
,,26-09-2020
,,27-09-2020
7.167658271,-271.0785044,28-09-2020
,,29-09-2020
,,30-09-2020
,,01-10-2020
,,02-10-2020
,,03-10-2020
,,04-10-2020
,,05-10-2020
,,06-10-2020
,,07-10-2020
,,08-10-2020
,,09-10-2020
,,10-10-2020
,,11-10-2020
,,12-10-2020
,,13-10-2020
,,14-10-2020
,,15-10-2020
,,16-10-2020
,,17-10-2020
6.404382732,-272.8959612,18-10-2020
,,19-10-2020
,,20-10-2020
,,21-10-2020
,,22-10-2020
6.975830918,-273.1236553,23-10-2020
,,24-10-2020
,,25-10-2020
,,26-10-2020
,,27-10-2020
7.04914285,-272.0366836,28-10-2020
,,29-10-2020
,,30-10-2020
,,31-10-2020
,,01-11-2020
7.227907278,-272.3670733,02-11-2020
,,03-11-2020
,,04-11-2020
,,05-11-2020
,,06-11-2020
6.755266837,-272.4636042,07-11-2020
,,08-11-2020
,,09-11-2020
,,10-11-2020
,,11-11-2020
6.869219276,-272.858338,12-11-2020
,,13-11-2020
,,14-11-2020
,,15-11-2020
,,16-11-2020
6.592513344,-272.4045921,17-11-2020
,,18-11-2020
,,19-11-2020
,,20-11-2020
,,21-11-2020
6.823555068,-273.4661037,22-11-2020
,,23-11-2020
,,24-11-2020
,,25-11-2020
,,26-11-2020
6.685272027,-272.5259252,27-11-2020
,,28-11-2020
,,29-11-2020
,,30-11-2020
,,01-12-2020
6.912632039,-273.7048824,02-12-2020
,,03-12-2020
,,04-12-2020
,,05-12-2020
,,06-12-2020
6.818834995,-273.0161212,07-12-2020
,,08-12-2020
,,09-12-2020
,,10-12-2020
,,11-12-2020
,,12-12-2020
,,13-12-2020
,,14-12-2020
,,15-12-2020
,,16-12-2020
6.827002442,-272.0257656,17-12-2020
,,18-12-2020
,,19-12-2020
,,20-12-2020
,,21-12-2020
6.982103424,-274.0119262,22-12-2020
,,23-12-2020
,,24-12-2020
,,25-12-2020
,,26-12-2020
6.578036381,-272.5967725,27-12-2020
,,28-12-2020
,,29-12-2020
,,30-12-2020
,,31-12-2020
7.009473062,-270.337445,01-01-2021
,,02-01-2021
,,03-01-2021
,,04-01-2021
,,05-01-2021
6.934779061,-270.9316728,06-01-2021
,,07-01-2021
,,08-01-2021
,,09-01-2021
,,10-01-2021
,,11-01-2021
,,12-01-2021
,,13-01-2021
,,14-01-2021
,,15-01-2021
7.034734266,-272.4245025,16-01-2021
,,17-01-2021
,,18-01-2021
,,19-01-2021
,,20-01-2021
7.164661265,-272.8919893,21-01-2021
,,22-01-2021
,,23-01-2021
,,24-01-2021
,,25-01-2021
,,26-01-2021
,,27-01-2021
,,28-01-2021
,,29-01-2021
,,30-01-2021
,,31-01-2021
,,01-02-2021
,,02-02-2021
,,03-02-2021
,,04-02-2021
7.30073386,-262.5758936,05-02-2021
,,06-02-2021
,,07-02-2021
,,08-02-2021
,,09-02-2021
6.9644889,-273.1008817,10-02-2021
,,11-02-2021
,,12-02-2021
,,13-02-2021
,,14-02-2021
,,15-02-2021
,,16-02-2021
,,17-02-2021
,,18-02-2021
,,19-02-2021
,,20-02-2021
,,21-02-2021
,,22-02-2021
,,23-02-2021
,,24-02-2021
6.002615086,-271.8824001,25-02-2021
,,26-02-2021
,,27-02-2021
,,28-02-2021
,,01-03-2021
,,02-03-2021
,,03-03-2021
,,04-03-2021
,,05-03-2021
,,06-03-2021
,,07-03-2021
,,08-03-2021
,,09-03-2021
,,10-03-2021
,,11-03-2021
,,12-03-2021
,,13-03-2021
,,14-03-2021
,,15-03-2021
,,16-03-2021
7.371374089,-262.096476,17-03-2021
,,18-03-2021
,,19-03-2021
,,20-03-2021
,,21-03-2021
,,22-03-2021
,,23-03-2021
,,24-03-2021
,,25-03-2021
,,26-03-2021
7.459682623,-266.5926084,27-03-2021
,,28-03-2021
,,29-03-2021
,,30-03-2021
,,31-03-2021
7.611041289,-266.1358594,01-04-2021
,,02-04-2021
,,03-04-2021
,,04-04-2021
,,05-04-2021
7.421300264,-262.8175136,06-04-2021
,,07-04-2021
,,08-04-2021
,,09-04-2021
,,10-04-2021
7.439177063,-263.3029492,11-04-2021
,,12-04-2021
,,13-04-2021
,,14-04-2021
,,15-04-2021
7.424682529,-262.003825,16-04-2021
,,17-04-2021
,,18-04-2021
,,19-04-2021
,,20-04-2021
,,21-04-2021
,,22-04-2021
,,23-04-2021
,,24-04-2021
,,25-04-2021
7.176206037,-266.373547,26-04-2021
,,27-04-2021
,,28-04-2021
,,29-04-2021
,,30-04-2021
,,01-05-2021
,,02-05-2021
,,03-05-2021
,,04-05-2021
,,05-05-2021
7.2815168,-264.2383818,06-05-2021
,,07-05-2021
,,08-05-2021
,,09-05-2021
,,10-05-2021
7.435410194,-262.7749173,11-05-2021
,,12-05-2021
,,13-05-2021
,,14-05-2021
,,15-05-2021
7.192173447,-262.7882183,16-05-2021
,,17-05-2021
,,18-05-2021
,,19-05-2021
,,20-05-2021
7.560703312,-259.5153314,21-05-2021
,,22-05-2021
,,23-05-2021
,,24-05-2021
,,25-05-2021
7.538093003,-256.961496,26-05-2021
,,27-05-2021
,,28-05-2021
,,29-05-2021
,,30-05-2021
,,31-05-2021
,,01-06-2021
,,02-06-2021
,,03-06-2021
,,04-06-2021
,,05-06-2021
,,06-06-2021
,,07-06-2021
,,08-06-2021
,,09-06-2021
,,10-06-2021
,,11-06-2021
,,12-06-2021
,,13-06-2021
,,14-06-2021
,,15-06-2021
,,16-06-2021
,,17-06-2021
,,18-06-2021
,,19-06-2021
,,20-06-2021
,,21-06-2021
,,22-06-2021
,,23-06-2021
,,24-06-2021
,,25-06-2021
,,26-06-2021
,,27-06-2021
,,28-06-2021
,,29-06-2021
,,30-06-2021
,,01-07-2021
,,02-07-2021
,,03-07-2021
,,04-07-2021
7.529605273,-258.518039,05-07-2021
,,06-07-2021
,,07-07-2021
,,08-07-2021
,,09-07-2021
,,10-07-2021
,,11-07-2021
,,12-07-2021
,,13-07-2021
,,14-07-2021
,,15-07-2021
,,16-07-2021
,,17-07-2021
,,18-07-2021
,,19-07-2021
,,20-07-2021
,,21-07-2021
,,22-07-2021
,,23-07-2021
,,24-07-2021
,,25-07-2021
,,26-07-2021
,,27-07-2021
,,28-07-2021
,,29-07-2021
,,30-07-2021
,,31-07-2021
,,01-08-2021
,,02-08-2021
,,03-08-2021
,,04-08-2021
,,05-08-2021
,,06-08-2021
,,07-08-2021
,,08-08-2021
,,09-08-2021
,,10-08-2021
,,11-08-2021
,,12-08-2021
,,13-08-2021
,,14-08-2021
,,15-08-2021
,,16-08-2021
,,17-08-2021
,,18-08-2021
,,19-08-2021
,,20-08-2021
,,21-08-2021
,,22-08-2021
,,23-08-2021
,,24-08-2021
,,25-08-2021
,,26-08-2021
,,27-08-2021
,,28-08-2021
,,29-08-2021
,,30-08-2021
,,31-08-2021
,,01-09-2021
,,02-09-2021
,,03-09-2021
,,04-09-2021
,,05-09-2021
,,06-09-2021
,,07-09-2021
,,08-09-2021
,,09-09-2021
,,10-09-2021
,,11-09-2021
,,12-09-2021
,,13-09-2021
,,14-09-2021
,,15-09-2021
,,16-09-2021
,,17-09-2021
,,18-09-2021
,,19-09-2021
,,20-09-2021
,,21-09-2021
,,22-09-2021
,,23-09-2021
,,24-09-2021
,,25-09-2021
,,26-09-2021
,,27-09-2021
,,28-09-2021
,,29-09-2021
,,30-09-2021
,,01-10-2021
,,02-10-2021
,,03-10-2021
,,04-10-2021
,,05-10-2021
,,06-10-2021
,,07-10-2021
,,08-10-2021
,,09-10-2021
,,10-10-2021
,,11-10-2021
,,12-10-2021
7.144554591,-270.5646266,13-10-2021
,,14-10-2021
,,15-10-2021
,,16-10-2021
,,17-10-2021
,,18-10-2021
,,19-10-2021
,,20-10-2021
,,21-10-2021
,,22-10-2021
7.116230923,-199.8721806,23-10-2021
,,24-10-2021
,,25-10-2021
,,26-10-2021
,,27-10-2021
7.416424637,-270.3744525,28-10-2021
,,29-10-2021
,,30-10-2021
,,31-10-2021
,,01-11-2021
6.926088973,-271.7244319,02-11-2021
,,03-11-2021
,,04-11-2021
,,05-11-2021
,,06-11-2021
7.54915155,-228.6889791,07-11-2021
,,08-11-2021
,,09-11-2021
,,10-11-2021
,,11-11-2021
6.810316967,-271.9620367,12-11-2021
,,13-11-2021
,,14-11-2021
,,15-11-2021
,,16-11-2021
,,17-11-2021
,,18-11-2021
,,19-11-2021
,,20-11-2021
,,21-11-2021
,,22-11-2021
,,23-11-2021
,,24-11-2021
,,25-11-2021
,,26-11-2021
7.096548925,-272.0572188,27-11-2021
,,28-11-2021
,,29-11-2021
