chl_a,ssc,date
,,18-11-2021
15.47562598,2.582308064,19-11-2021
,,20-11-2021
,,21-11-2021
,,22-11-2021
,,23-11-2021
16.94771754,2.582325238,24-11-2021
,,25-11-2021
,,26-11-2021
,,27-11-2021
,,28-11-2021
10.65825982,2.582276659,29-11-2021
,,30-11-2021
,,01-12-2021
,,02-12-2021
,,03-12-2021
17.66336697,2.582258536,04-12-2021
,,05-12-2021
,,06-12-2021
,,07-12-2021
,,08-12-2021
,,09-12-2021
,,10-12-2021
,,11-12-2021
,,12-12-2021
,,13-12-2021
19.42993636,2.582127776,14-12-2021
,,15-12-2021
,,16-12-2021
,,17-12-2021
,,18-12-2021
,,19-12-2021
,,20-12-2021
,,21-12-2021
,,22-12-2021
21.3302413,2.582086008,23-12-2021
,,24-12-2021
,,25-12-2021
,,26-12-2021
,,27-12-2021
19.98785817,2.582069015,28-12-2021
,,29-12-2021
,,30-12-2021
,,31-12-2021
,,01-01-2022
16.80412687,2.582152718,02-01-2022
,,03-01-2022
,,04-01-2022
,,05-01-2022
,,06-01-2022
17.66433334,2.582223762,07-01-2022
,,08-01-2022
,,09-01-2022
,,10-01-2022
19.60160836,2.582052369,11-01-2022
,,12-01-2022
,,13-01-2022
,,14-01-2022
,,15-01-2022
17.56565612,2.582186438,16-01-2022
,,17-01-2022
,,18-01-2022
,,19-01-2022
,,20-01-2022
,,21-01-2022
,,22-01-2022
,,23-01-2022
,,24-01-2022
,,25-01-2022
14.89042841,2.581911493,26-01-2022
,,27-01-2022
,,28-01-2022
,,29-01-2022
,,30-01-2022
,,31-01-2022
,,01-02-2022
,,02-02-2022
,,03-02-2022
,,04-02-2022
13.72784707,2.581919714,05-02-2022
,,06-02-2022
,,07-02-2022
,,08-02-2022
,,09-02-2022
,,10-02-2022
,,11-02-2022
,,12-02-2022
,,13-02-2022
15.61959134,2.581798393,14-02-2022
,,15-02-2022
,,16-02-2022
,,17-02-2022
,,18-02-2022
19.58066755,2.581805066,19-02-2022
,,20-02-2022
,,21-02-2022
,,22-02-2022
,,23-02-2022
14.76840557,2.581821356,24-02-2022
,,25-02-2022
,,26-02-2022
,,27-02-2022
,,28-02-2022
16.68789848,2.581777958,01-03-2022
,,02-03-2022
,,03-03-2022
,,04-03-2022
,,05-03-2022
15.16417798,2.581870401,06-03-2022
,,07-03-2022
,,08-03-2022
,,09-03-2022
,,10-03-2022
,,11-03-2022
,,12-03-2022
,,13-03-2022
,,14-03-2022
,,15-03-2022
,,16-03-2022
,,17-03-2022
,,18-03-2022
,,19-03-2022
,,20-03-2022
,,21-03-2022
,,22-03-2022
,,23-03-2022
,,24-03-2022
,,25-03-2022
,,26-03-2022
,,27-03-2022
,,28-03-2022
,,29-03-2022
,,30-03-2022
,,31-03-2022
,,01-04-2022
,,02-04-2022
,,03-04-2022
,,04-04-2022
,,05-04-2022
,,06-04-2022
,,07-04-2022
,,08-04-2022
,,09-04-2022
,,10-04-2022
,,11-04-2022
,,12-04-2022
,,13-04-2022
,,14-04-2022
,,15-04-2022
,,16-04-2022
,,17-04-2022
,,18-04-2022
,,19-04-2022
,,20-04-2022
,,21-04-2022
,,22-04-2022
,,23-04-2022
,,24-04-2022
,,25-04-2022
,,26-04-2022
,,27-04-2022
,,28-04-2022
,,29-04-2022
,,30-04-2022
,,01-05-2022
,,02-05-2022
,,03-05-2022
,,04-05-2022
,,05-05-2022
,,06-05-2022
,,07-05-2022
,,08-05-2022
,,09-05-2022
,,10-05-2022
,,11-05-2022
,,12-05-2022
,,13-05-2022
,,14-05-2022
,,15-05-2022
,,16-05-2022
,,17-05-2022
,,18-05-2022
,,19-05-2022
,,20-05-2022
,,21-05-2022
,,22-05-2022
,,23-05-2022
,,24-05-2022
,,25-05-2022
,,26-05-2022
,,27-05-2022
,,28-05-2022
,,29-05-2022
,,30-05-2022
,,31-05-2022
,,01-06-2022
,,02-06-2022
,,03-06-2022
,,04-06-2022
,,05-06-2022
,,06-06-2022
,,07-06-2022
,,08-06-2022
,,09-06-2022
,,10-06-2022
,,11-06-2022
,,12-06-2022
,,13-06-2022
,,14-06-2022
,,15-06-2022
,,16-06-2022
,,17-06-2022
,,18-06-2022
,,19-06-2022
,,20-06-2022
,,21-06-2022
,,22-06-2022
,,23-06-2022
,,24-06-2022
,,25-06-2022
,,26-06-2022
,,27-06-2022
,,28-06-2022
,,29-06-2022
,,30-06-2022
,,01-07-2022
,,02-07-2022
,,03-07-2022
,,04-07-2022
,,05-07-2022
,,06-07-2022
,,07-07-2022
,,08-07-2022
13.39490093,2.582565283,09-07-2022
,,10-07-2022
,,11-07-2022
,,12-07-2022
,,13-07-2022
,,14-07-2022
,,15-07-2022
,,16-07-2022
,,17-07-2022
,,18-07-2022
14.2443815,2.58261948,19-07-2022
,,20-07-2022
,,21-07-2022
,,22-07-2022
,,23-07-2022
13.86371526,2.582574633,24-07-2022
,,25-07-2022
,,26-07-2022
,,27-07-2022
,,28-07-2022
12.4027166,2.58253044,29-07-2022
,,30-07-2022
,,31-07-2022
,,01-08-2022
,,02-08-2022
13.50515183,2.582534558,03-08-2022
,,04-08-2022
,,05-08-2022
,,06-08-2022
11.60924834,2.582492011,07-08-2022
,,08-08-2022
,,09-08-2022
,,10-08-2022
,,11-08-2022
12.91725299,2.58256216,12-08-2022
,,13-08-2022
,,14-08-2022
,,15-08-2022
,,16-08-2022
9.687782699,2.582666782,17-08-2022
,,18-08-2022
,,19-08-2022
,,20-08-2022
,,21-08-2022
13.02177553,2.582465253,22-08-2022
,,23-08-2022
,,24-08-2022
,,25-08-2022
,,26-08-2022
11.19028404,2.582496757,27-08-2022
,,28-08-2022
,,29-08-2022
,,30-08-2022
,,31-08-2022
12.20861652,2.582462318,01-09-2022
,,02-09-2022
,,03-09-2022
,,04-09-2022
